Valor -> Archivo -> Ruta
asgf2_libresinconf_libre -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asgf2_localiza_devices -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asgf4_estado_agrup -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asg_intercambia_lineas_agrup -> AccesoDirecto.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
asg_reservado_disponible -> AccesoDirecto.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
OS_prov_central_directo -> AccesoDirecto.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
por_nrn -> AccesoDirecto.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
prov_central_directo -> AccesoDirecto.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\AccesoDirecto.cs
por_nrn -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.SHOPA.AccesoDirecto\Constantes.cs
asg_cambio -> V5.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.V5\V5.cs
asg_comprueba_asg_libre -> V5.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.V5\V5.cs
asg_intercambia_lineas_agrup -> V5.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.V5\V5.cs
asgf4_cambio_estado_una_linea -> V5.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.V5\V5.cs
